TF gene,PBM filename,TF tested in PBM,AA identity,More info,OLS CV accuracy
"ARID3C","Mus_musculus|M00142_1.94d|Zoo_01|536","Arid3a",86,"Inferred - Arid3a (86% AA Identity, Mus musculus)",0.629009
"ARID3C","Microcebus_murinus|M00139_1.94d|Zoo_01|6517","ARID3A",86,"Inferred - ARID3A (86% AA Identity, Microcebus murinus)",0.652459
"ARID3C","Acyrtosiphon_pisum|M00136_1.94d|Zoo_01|428","ACYPI009013",61,"Inferred - ACYPI009013 (61% AA Identity, Acyrthosiphon pisum)",0.664794
"ARID5A","Rattus_norvegicus|M00146_1.94d|Zoo_01|531","Arid5a",100,"Inferred - Arid5a (100% AA Identity, Rattus norvegicus)",0.651189
"ARID5A","Mus_musculus|M00144_1.94d|Badis09|Arid5a_3770.2=v1","Arid5a",100,"Inferred - Arid5a (100% AA Identity, Mus musculus)",0.41202
"ARID5A","Mus_musculus|M00143_1.94d|Zoo_01|1183","Arid5b",72,"Inferred - Arid5b (72% AA Identity, Mus musculus)",0.725527
"ARID5A","Danio_rerio|M00138_1.94d|Zoo_01|214","arid5b",64,"Inferred - arid5b (64% AA Identity, Danio rerio)",0.825357
"ARID5B","Mus_musculus|M00143_1.94d|Zoo_01|1183","Arid5b",100,"Inferred - Arid5b (100% AA Identity, Mus musculus)",0.725527
"ARID5B","Mus_musculus|M00144_1.94d|Badis09|Arid5a_3770.2=v1","Arid5a",72,"Inferred - Arid5a (72% AA Identity, Mus musculus)",0.41202
"ARID5B","Rattus_norvegicus|M00146_1.94d|Zoo_01|531","Arid5a",72,"Inferred - Arid5a (72% AA Identity, Rattus norvegicus)",0.651189
"ARNT","Mus_musculus|M00267_1.94d|Zoo_01|169","Arntl",65,"Inferred - Arntl (65% AA Identity, Mus musculus)",0.390313
"ARNT2","Mus_musculus|M00267_1.94d|Zoo_01|169","Arntl",61,"Inferred - Arntl (61% AA Identity, Mus musculus)",0.390313
"ARNTL","Mus_musculus|M00267_1.94d|Zoo_01|169","Arntl",100,"Inferred - Arntl (100% AA Identity, Mus musculus)",0.390313
"ARNTL2","Mus_musculus|M00267_1.94d|Zoo_01|169","Arntl",68,"Inferred - Arntl (68% AA Identity, Mus musculus)",0.390313
"ARX","Homo_sapiens|M01217_1.94d|Barrera2016|ARX_REF_R1","ARX",100,"Direct",0.790399
"ARX","Mus_musculus|M01396_1.94d|Berger08|Arx_1738.2","Arx",100,"Inferred - Arx (100% AA Identity, Mus musculus)",0.733336
"ARX","Homo_sapiens|M01214_1.94d|Barrera2016|ARX_P353L_R1","ARX",100,"Direct",0.610034
"ARX","Tetraodon_nigroviridis|M01478_1.94d|Zoo_01|2002","uncx4.1",77,"Inferred - uncx4.1 (77% AA Identity, Tetraodon nigroviridis)",0.528431
"ARX","Homo_sapiens|M01245_1.94d|Barrera2016|VSX2_REF_R1","VSX2",73,"Inferred - VSX2 (73% AA Identity, Homo sapiens)",0.863523
"ARX","Mus_musculus|M01388_1.94d|Berger08|Vsx1_1728.1","Vsx1",68,"Inferred - Vsx1 (68% AA Identity, Mus musculus)",0.622551
"ASCL1","Mus_musculus|M00225_1.94d|Badis09|Ascl2_2654.2=v2","Ascl2",88,"Inferred - Ascl2 (88% AA Identity, Mus musculus)",0.157999
"ASCL2","Mus_musculus|M00225_1.94d|Badis09|Ascl2_2654.2=v2","Ascl2",98,"Inferred - Ascl2 (98% AA Identity, Mus musculus)",0.157999
"ASCL3","Mus_musculus|M00225_1.94d|Badis09|Ascl2_2654.2=v2","Ascl2",55,"Inferred - Ascl2 (55% AA Identity, Mus musculus)",0.157999
"ASCL4","Mus_musculus|M00225_1.94d|Badis09|Ascl2_2654.2=v2","Ascl2",54,"Inferred - Ascl2 (54% AA Identity, Mus musculus)",0.157999
"ASCL5","Mus_musculus|M00225_1.94d|Badis09|Ascl2_2654.2=v2","Ascl2",56,"Inferred - Ascl2 (56% AA Identity, Mus musculus)",0.157999
"ATF1","Mus_musculus|M00387_1.94d|Badis09|Atf1_3026.3=v1","Atf1",96,"Inferred - Atf1 (96% AA Identity, Mus musculus)",0.216169
"ATF1","Mus_musculus|M00388_1.94d|Zoo_01|2502","Atf1",96,"Inferred - Atf1 (96% AA Identity, Mus musculus)",0.40646
"ATF1","Mus_musculus|M00392_1.94d|Zoo_01|1581","Creb1",86,"Inferred - Creb1 (86% AA Identity, Mus musculus)",0.349226
"ATF1","Mus_musculus|M00420_1.94d|Zoo_01|1307","Crem",85,"Inferred - Crem (85% AA Identity, Mus musculus)",0.554477
"ATF2","Mus_musculus|M00395_1.94d|Zoo_01|1192","Atf2",100,"Inferred - Atf2 (100% AA Identity, Mus musculus)",0.182611
"ATF2","Mus_musculus|M00425_1.94d|Zoo_01|1187","Atf7",82,"Inferred - Atf7 (82% AA Identity, Mus musculus)",0.373643
"ATF3","Mus_musculus|M00393_1.94d|DREAM_contest|1967","Atf3",98,"Inferred - Atf3 (98% AA Identity, Mus musculus)",0.312838
"ATF3","Mus_musculus|M00394_1.94d|Zoo_01|1351","Atf3",98,"Inferred - Atf3 (98% AA Identity, Mus musculus)",0.289443
"ATF3","Mus_musculus|M00397_1.94d|Badis09|Jundm2_0911.3=v1","Jdp2",71,"Inferred - Jdp2 (71% AA Identity, Mus musculus)",0.498617
"ATOH1","Mus_musculus|M00272_1.94d|Zoo_01|1349","Atoh1",100,"Inferred - Atoh1 (100% AA Identity, Mus musculus)",0.201119
"ATOH1","Mus_musculus|M00264_1.94d|Zoo_01|1372","Neurog1",56,"Inferred - Neurog1 (56% AA Identity, Mus musculus)",0.267932
"ATOH1","Mus_musculus|M00241_1.94d|Zoo_01|1348","Bhlhe22",50,"Inferred - Bhlhe22 (50% AA Identity, Mus musculus)",0.288106
"ATOH7","Mus_musculus|M00272_1.94d|Zoo_01|1349","Atoh1",75,"Inferred - Atoh1 (75% AA Identity, Mus musculus)",0.201119
"ATOH7","Mus_musculus|M00264_1.94d|Zoo_01|1372","Neurog1",52,"Inferred - Neurog1 (52% AA Identity, Mus musculus)",0.267932
"ATOH7","Mus_musculus|M00242_1.94d|Zoo_01|231","Msc",50,"Inferred - Msc (50% AA Identity, Mus musculus)",-0.102401
"BARHL1","Mus_musculus|M01361_1.94d|Berger08|Barhl1_2590.2","Barhl1",100,"Inferred - Barhl1 (100% AA Identity, Mus musculus)",0.781994
"BARHL1","Mus_musculus|M01389_1.94d|Berger08|Barhl2_3868.1","Barhl2",92,"Inferred - Barhl2 (92% AA Identity, Mus musculus)",0.545517
"BARHL2","Mus_musculus|M01389_1.94d|Berger08|Barhl2_3868.1","Barhl2",100,"Inferred - Barhl2 (100% AA Identity, Mus musculus)",0.545517
"BARHL2","Mus_musculus|M01361_1.94d|Berger08|Barhl1_2590.2","Barhl1",92,"Inferred - Barhl1 (92% AA Identity, Mus musculus)",0.781994
"BARX1","Tetraodon_nigroviridis|M01474_1.94d|Zoo_01|2841","barx1",100,"Inferred - barx1 (100% AA Identity, Tetraodon nigroviridis)",0.717741
"BARX1","Mus_musculus|M01340_1.94d|Berger08|Barx1_2877.1","Barx1",100,"Inferred - Barx1 (100% AA Identity, Mus musculus)",0.686383
"BARX1","Mus_musculus|M01386_1.94d|Berger08|Barx2_3447.2","Barx2",89,"Inferred - Barx2 (89% AA Identity, Mus musculus)",0.726868
"BARX2","Mus_musculus|M01386_1.94d|Berger08|Barx2_3447.2","Barx2",100,"Inferred - Barx2 (100% AA Identity, Mus musculus)",0.726868
"BARX2","Tetraodon_nigroviridis|M01474_1.94d|Zoo_01|2841","barx1",89,"Inferred - barx1 (89% AA Identity, Tetraodon nigroviridis)",0.717741
"BARX2","Mus_musculus|M01340_1.94d|Berger08|Barx1_2877.1","Barx1",89,"Inferred - Barx1 (89% AA Identity, Mus musculus)",0.686383
"BHLHA15","Mus_musculus|M00272_1.94d|Zoo_01|1349","Atoh1",59,"Inferred - Atoh1 (59% AA Identity, Mus musculus)",0.201119
"BHLHA15","Mus_musculus|M00264_1.94d|Zoo_01|1372","Neurog1",55,"Inferred - Neurog1 (55% AA Identity, Mus musculus)",0.267932
"BHLHA15","Mus_musculus|M00241_1.94d|Zoo_01|1348","Bhlhe22",51,"Inferred - Bhlhe22 (51% AA Identity, Mus musculus)",0.288106
"BHLHA15","Mus_musculus|M00224_1.94d|Zoo_01|127","Twist2",50,"Inferred - Twist2 (50% AA Identity, Mus musculus)",0.422945
"BHLHE22","Mus_musculus|M00241_1.94d|Zoo_01|1348","Bhlhe22",100,"Inferred - Bhlhe22 (100% AA Identity, Mus musculus)",0.288106
"BHLHE22","Mus_musculus|M00272_1.94d|Zoo_01|1349","Atoh1",50,"Inferred - Atoh1 (50% AA Identity, Mus musculus)",0.201119
"BHLHE23","Mus_musculus|M00241_1.94d|Zoo_01|1348","Bhlhe22",96,"Inferred - Bhlhe22 (96% AA Identity, Mus musculus)",0.288106
"BHLHE23","Mus_musculus|M00272_1.94d|Zoo_01|1349","Atoh1",50,"Inferred - Atoh1 (50% AA Identity, Mus musculus)",0.201119
"BHLHE40","Mus_musculus|M00253_1.94d|Zoo_01|1308","Bhlhe41",98,"Inferred - Bhlhe41 (98% AA Identity, Mus musculus)",0.549697
"BHLHE40","Mus_musculus|M00251_1.94d|Badis09|Bhlhb2_1274.3=v2","Bhlhe40",98,"Inferred - Bhlhe40 (98% AA Identity, Mus musculus)",0.494515
"BHLHE40","Mus_musculus|M00252_1.94d|Zoo_01|2878","Bhlhe40",98,"Inferred - Bhlhe40 (98% AA Identity, Mus musculus)",0.619396
"BHLHE41","Mus_musculus|M00253_1.94d|Zoo_01|1308","Bhlhe41",100,"Inferred - Bhlhe41 (100% AA Identity, Mus musculus)",0.549697
"BHLHE41","Mus_musculus|M00251_1.94d|Badis09|Bhlhb2_1274.3=v2","Bhlhe40",96,"Inferred - Bhlhe40 (96% AA Identity, Mus musculus)",0.494515
"BHLHE41","Mus_musculus|M00252_1.94d|Zoo_01|2878","Bhlhe40",96,"Inferred - Bhlhe40 (96% AA Identity, Mus musculus)",0.619396
"BSX","Mus_musculus|M01447_1.94d|Berger08|Bsx_3483.2","Bsx",100,"Inferred - Bsx (100% AA Identity, Mus musculus)",0.760876
"BSX","Drosophila_melanogaster|M01484_1.94d|Zoo_01|3049","bsh",94,"Inferred - bsh (94% AA Identity, Drosophila melanogaster)",0.701826
"CCDC169-SOHLH2","Mus_musculus|M00245_1.94d|Zoo_01|163","Sohlh2",84,"Inferred - Sohlh2 (84% AA Identity, Mus musculus)",0.208018
"CDX1","Mus_musculus|M01355_1.94d|Berger08|Cdx1_2245.1","Cdx1",100,"Inferred - Cdx1 (100% AA Identity, Mus musculus)",0.52868
"CDX1","Mus_musculus|M01376_1.94d|Berger08|Cdx2_4272.1","Cdx2",94,"Inferred - Cdx2 (94% AA Identity, Mus musculus)",0.756703
"CDX1","Discocelis_tigrina|M01623_1.94d|Zoo_01|2912","Q9GP48_9TURB",73,"Inferred - Q9GP48_9TURB (73% AA Identity, Discocelis tigrina)",0.36581
"CDX2","Mus_musculus|M01376_1.94d|Berger08|Cdx2_4272.1","Cdx2",96,"Inferred - Cdx2 (96% AA Identity, Mus musculus)",0.756703
"CDX2","Mus_musculus|M01355_1.94d|Berger08|Cdx1_2245.1","Cdx1",94,"Inferred - Cdx1 (94% AA Identity, Mus musculus)",0.52868
"CDX2","Discocelis_tigrina|M01623_1.94d|Zoo_01|2912","Q9GP48_9TURB",70,"Inferred - Q9GP48_9TURB (70% AA Identity, Discocelis tigrina)",0.36581
"CDX4","Mus_musculus|M01376_1.94d|Berger08|Cdx2_4272.1","Cdx2",89,"Inferred - Cdx2 (89% AA Identity, Mus musculus)",0.756703
"CDX4","Mus_musculus|M01355_1.94d|Berger08|Cdx1_2245.1","Cdx1",89,"Inferred - Cdx1 (89% AA Identity, Mus musculus)",0.52868
"CDX4","Discocelis_tigrina|M01623_1.94d|Zoo_01|2912","Q9GP48_9TURB",68,"Inferred - Q9GP48_9TURB (68% AA Identity, Discocelis tigrina)",0.36581
"CEBPA","Mus_musculus|M00401_1.94d|Zoo_01|1586","Cebpa",100,"Inferred - Cebpa (100% AA Identity, Mus musculus)",0.354083
"CEBPA","Mus_musculus|M00416_1.94d|Zoo_01|1598","Cebpb",73,"Inferred - Cebpb (73% AA Identity, Mus musculus)",0.356548
"CEBPA","Mus_musculus|M00415_1.94d|DREAM_contest|1408","Cebpb",73,"Inferred - Cebpb (73% AA Identity, Mus musculus)",0.532508
"CEBPA","Mus_musculus|M00406_1.94d|Zoo_01|2537","Cebpe",69,"Inferred - Cebpe (69% AA Identity, Mus musculus)",0.381138
"CEBPB","Mus_musculus|M00416_1.94d|Zoo_01|1598","Cebpb",96,"Inferred - Cebpb (96% AA Identity, Mus musculus)",0.356548
"CEBPB","Mus_musculus|M00415_1.94d|DREAM_contest|1408","Cebpb",96,"Inferred - Cebpb (96% AA Identity, Mus musculus)",0.532508
"CEBPB","Mus_musculus|M00401_1.94d|Zoo_01|1586","Cebpa",72,"Inferred - Cebpa (72% AA Identity, Mus musculus)",0.354083
"CEBPB","Mus_musculus|M00406_1.94d|Zoo_01|2537","Cebpe",71,"Inferred - Cebpe (71% AA Identity, Mus musculus)",0.381138
"CEBPD","Mus_musculus|M00401_1.94d|Zoo_01|1586","Cebpa",66,"Inferred - Cebpa (66% AA Identity, Mus musculus)",0.354083
"CEBPD","Mus_musculus|M00416_1.94d|Zoo_01|1598","Cebpb",65,"Inferred - Cebpb (65% AA Identity, Mus musculus)",0.356548
"CEBPD","Mus_musculus|M00415_1.94d|DREAM_contest|1408","Cebpb",65,"Inferred - Cebpb (65% AA Identity, Mus musculus)",0.532508
"CEBPD","Mus_musculus|M00406_1.94d|Zoo_01|2537","Cebpe",63,"Inferred - Cebpe (63% AA Identity, Mus musculus)",0.381138
"CEBPE","Mus_musculus|M00406_1.94d|Zoo_01|2537","Cebpe",95,"Inferred - Cebpe (95% AA Identity, Mus musculus)",0.381138
"CEBPE","Mus_musculus|M00415_1.94d|DREAM_contest|1408","Cebpb",73,"Inferred - Cebpb (73% AA Identity, Mus musculus)",0.532508
"CEBPE","Mus_musculus|M00416_1.94d|Zoo_01|1598","Cebpb",73,"Inferred - Cebpb (73% AA Identity, Mus musculus)",0.356548
"CEBPE","Mus_musculus|M00401_1.94d|Zoo_01|1586","Cebpa",71,"Inferred - Cebpa (71% AA Identity, Mus musculus)",0.354083
"CEBPG","Mus_musculus|M00412_1.94d|Zoo_01|1305","Cebpg",100,"Inferred - Cebpg (100% AA Identity, Mus musculus)",0.529843
"CLOCK","Mus_musculus|M00247_1.94d|Zoo_01|128","Clock",100,"Inferred - Clock (100% AA Identity, Mus musculus)",0.738616
"CREB1","Mus_musculus|M00392_1.94d|Zoo_01|1581","Creb1",100,"Inferred - Creb1 (100% AA Identity, Mus musculus)",0.349226
"CREB1","Mus_musculus|M00420_1.94d|Zoo_01|1307","Crem",95,"Inferred - Crem (95% AA Identity, Mus musculus)",0.554477
"CREB1","Mus_musculus|M00388_1.94d|Zoo_01|2502","Atf1",86,"Inferred - Atf1 (86% AA Identity, Mus musculus)",0.40646
"CREB5","Mus_musculus|M00425_1.94d|Zoo_01|1187","Atf7",81,"Inferred - Atf7 (81% AA Identity, Mus musculus)",0.373643
"CREB5","Mus_musculus|M00395_1.94d|Zoo_01|1192","Atf2",81,"Inferred - Atf2 (81% AA Identity, Mus musculus)",0.182611
"CREM","Mus_musculus|M00420_1.94d|Zoo_01|1307","Crem",78,"Inferred - Crem (78% AA Identity, Mus musculus)",0.554477
"CREM","Mus_musculus|M00392_1.94d|Zoo_01|1581","Creb1",75,"Inferred - Creb1 (75% AA Identity, Mus musculus)",0.349226
"CREM","Mus_musculus|M00388_1.94d|Zoo_01|2502","Atf1",72,"Inferred - Atf1 (72% AA Identity, Mus musculus)",0.40646
"CRX","Homo_sapiens|M01224_1.94d|Barrera2016|CRX_R41Q_R1","CRX",100,"Direct",0.705537
"CRX","Homo_sapiens|M01228_1.94d|Barrera2016|CRX_V66I_R1","CRX",100,"Direct",0.733213
"CRX","Homo_sapiens|M01227_1.94d|Barrera2016|CRX_REF_R1","CRX",100,"Direct",0.735613
"CRX","Mus_musculus|M01416_1.94d|Berger08|Alx4_1744.1","Alx4",68,"Inferred - Alx4 (68% AA Identity, Mus musculus)",0.537571
"CRX","Mus_musculus|M01328_1.94d|Berger08|Alx3_3418.2","Alx3",68,"Inferred - Alx3 (68% AA Identity, Mus musculus)",0.656403
"CRX","Mus_musculus|M01396_1.94d|Berger08|Arx_1738.2","Arx",66,"Inferred - Arx (66% AA Identity, Mus musculus)",0.733336
"CXXC1","Homo_sapiens|M00872_1.94d|Zoo_01|3730","CXXC1",100,"Direct",0.792831
"CXXC1","Homo_sapiens|M00872_1.94d|Zoo_01|3730","BAD93120.1",100,"Inferred - BAD93120.1 (100% AA Identity, Homo sapiens)",0.792831
"DBP","Mus_musculus|M00418_1.94d|DREAM_contest|1409","Dbp",98,"Inferred - Dbp (98% AA Identity, Mus musculus)",0.422671
"DBP","Mus_musculus|M00386_1.94d|Zoo_01|1189","Tef",67,"Inferred - Tef (67% AA Identity, Mus musculus)",0.338717
"DBX1","Mus_musculus|M01428_1.94d|Berger08|Dbx2_3487.1","Dbx2",87,"Inferred - Dbx2 (87% AA Identity, Mus musculus)",0.654801
"DBX1","Mus_musculus|M01414_1.94d|Berger08|Hlx1_2350.1","Hlx",70,"Inferred - Hlx (70% AA Identity, Mus musculus)",0.506734
"DBX2","Mus_musculus|M01428_1.94d|Berger08|Dbx2_3487.1","Dbx2",92,"Inferred - Dbx2 (92% AA Identity, Mus musculus)",0.654801
"DLX1","Mus_musculus|M01420_1.94d|Berger08|Dlx1_1741.2","Dlx1",100,"Inferred - Dlx1 (100% AA Identity, Mus musculus)",0.739885
"DLX1","Drosophila_melanogaster|M01482_1.94d|Zoo_01|2086","Dll",92,"Inferred - Dll (92% AA Identity, Drosophila melanogaster)",0.638189
"DLX1","Mus_musculus|M01351_1.94d|Berger08|Dlx2_2273.2","Dlx2",91,"Inferred - Dlx2 (91% AA Identity, Mus musculus)",0.737363
"DLX1","Mus_musculus|M01312_1.94d|Berger08|Dlx3_1030.1","Dlx3",87,"Inferred - Dlx3 (87% AA Identity, Mus musculus)",0.674329
"DLX1","Mus_musculus|M01335_1.94d|Berger08|Dlx4_3488.2","Dlx4",87,"Inferred - Dlx4 (87% AA Identity, Mus musculus)",0.655106
"DLX2","Mus_musculus|M01378_1.94d|Berger08|Dlx5_3419.2","Dlx5",96,"Inferred - Dlx5 (96% AA Identity, Mus musculus)",0.667282
"DLX2","Mus_musculus|M01312_1.94d|Berger08|Dlx3_1030.1","Dlx3",94,"Inferred - Dlx3 (94% AA Identity, Mus musculus)",0.674329
"DLX2","Mus_musculus|M01420_1.94d|Berger08|Dlx1_1741.2","Dlx1",91,"Inferred - Dlx1 (91% AA Identity, Mus musculus)",0.739885
"DLX2","Drosophila_melanogaster|M01482_1.94d|Zoo_01|2086","Dll",89,"Inferred - Dll (89% AA Identity, Drosophila melanogaster)",0.638189
"DLX2","Mus_musculus|M01335_1.94d|Berger08|Dlx4_3488.2","Dlx4",82,"Inferred - Dlx4 (82% AA Identity, Mus musculus)",0.655106
"DLX3","Mus_musculus|M01312_1.94d|Berger08|Dlx3_1030.1","Dlx3",100,"Inferred - Dlx3 (100% AA Identity, Mus musculus)",0.674329
"DLX3","Mus_musculus|M01351_1.94d|Berger08|Dlx2_2273.2","Dlx2",94,"Inferred - Dlx2 (94% AA Identity, Mus musculus)",0.737363
"DLX3","Mus_musculus|M01378_1.94d|Berger08|Dlx5_3419.2","Dlx5",91,"Inferred - Dlx5 (91% AA Identity, Mus musculus)",0.667282
"DLX3","Drosophila_melanogaster|M01482_1.94d|Zoo_01|2086","Dll",85,"Inferred - Dll (85% AA Identity, Drosophila melanogaster)",0.638189
"DLX3","Mus_musculus|M01335_1.94d|Berger08|Dlx4_3488.2","Dlx4",82,"Inferred - Dlx4 (82% AA Identity, Mus musculus)",0.655106
"DLX4","Mus_musculus|M01335_1.94d|Berger08|Dlx4_3488.2","Dlx4",98,"Inferred - Dlx4 (98% AA Identity, Mus musculus)",0.655106
"DLX4","Mus_musculus|M01420_1.94d|Berger08|Dlx1_1741.2","Dlx1",89,"Inferred - Dlx1 (89% AA Identity, Mus musculus)",0.739885
"DLX4","Drosophila_melanogaster|M01482_1.94d|Zoo_01|2086","Dll",89,"Inferred - Dll (89% AA Identity, Drosophila melanogaster)",0.638189
"DLX4","Mus_musculus|M01312_1.94d|Berger08|Dlx3_1030.1","Dlx3",82,"Inferred - Dlx3 (82% AA Identity, Mus musculus)",0.674329
"DLX5","Mus_musculus|M01351_1.94d|Berger08|Dlx2_2273.2","Dlx2",96,"Inferred - Dlx2 (96% AA Identity, Mus musculus)",0.737363
"DLX5","Mus_musculus|M01312_1.94d|Berger08|Dlx3_1030.1","Dlx3",91,"Inferred - Dlx3 (91% AA Identity, Mus musculus)",0.674329
"DLX5","Drosophila_melanogaster|M01482_1.94d|Zoo_01|2086","Dll",87,"Inferred - Dll (87% AA Identity, Drosophila melanogaster)",0.638189
"DLX5","Mus_musculus|M01335_1.94d|Berger08|Dlx4_3488.2","Dlx4",84,"Inferred - Dlx4 (84% AA Identity, Mus musculus)",0.655106
"DLX6","Mus_musculus|M01420_1.94d|Berger08|Dlx1_1741.2","Dlx1",98,"Inferred - Dlx1 (98% AA Identity, Mus musculus)",0.739885
"DLX6","Drosophila_melanogaster|M01482_1.94d|Zoo_01|2086","Dll",91,"Inferred - Dll (91% AA Identity, Drosophila melanogaster)",0.638189
"DLX6","Mus_musculus|M01351_1.94d|Berger08|Dlx2_2273.2","Dlx2",89,"Inferred - Dlx2 (89% AA Identity, Mus musculus)",0.737363
"DLX6","Mus_musculus|M01335_1.94d|Berger08|Dlx4_3488.2","Dlx4",87,"Inferred - Dlx4 (87% AA Identity, Mus musculus)",0.655106
"DLX6","Mus_musculus|M01312_1.94d|Berger08|Dlx3_1030.1","Dlx3",85,"Inferred - Dlx3 (85% AA Identity, Mus musculus)",0.674329
"DMBX1","Mus_musculus|M01369_1.94d|Berger08|Dmbx1_2277.1","Dmbx1",100,"Inferred - Dmbx1 (100% AA Identity, Mus musculus)",0.646112
"DMBX1","Mus_musculus|M01416_1.94d|Berger08|Alx4_1744.1","Alx4",75,"Inferred - Alx4 (75% AA Identity, Mus musculus)",0.537571
"DMBX1","Mus_musculus|M01400_1.94d|Berger08|Cart1_0997.1","Alx1",73,"Inferred - Alx1 (73% AA Identity, Mus musculus)",0.663425
"DMBX1","Mus_musculus|M01388_1.94d|Berger08|Vsx1_1728.1","Vsx1",68,"Inferred - Vsx1 (68% AA Identity, Mus musculus)",0.622551
"DMBX1","Homo_sapiens|M01245_1.94d|Barrera2016|VSX2_REF_R1","VSX2",68,"Inferred - VSX2 (68% AA Identity, Homo sapiens)",0.863523
"DMBX1","Tetraodon_nigroviridis|M01478_1.94d|Zoo_01|2002","uncx4.1",66,"Inferred - uncx4.1 (66% AA Identity, Tetraodon nigroviridis)",0.528431
